id,activitydate,TotalTimeInBed
1503960366,4/12/2016,346
1503960366,4/13/2016,407
1503960366,4/15/2016,442
1503960366,4/16/2016,367
1503960366,4/17/2016,712
1503960366,4/19/2016,320
1503960366,4/20/2016,377
1503960366,4/21/2016,364
1503960366,4/23/2016,384
1503960366,4/24/2016,449
1503960366,4/25/2016,323
1503960366,4/26/2016,274
1503960366,4/28/2016,393
1503960366,4/29/2016,354
1503960366,4/30/2016,425
1503960366,5/1/2016,396
1503960366,5/2/2016,309
1503960366,5/3/2016,296
1503960366,5/5/2016,264
1503960366,5/6/2016,367
1503960366,5/7/2016,349
1503960366,5/8/2016,611
1503960366,5/9/2016,342
1503960366,5/10/2016,403
1503960366,5/11/2016,306
1644430081,4/29/2016,127
1644430081,4/30/2016,142
1644430081,5/2/2016,961
1644430081,5/8/2016,154
1844505072,4/15/2016,961
1844505072,4/30/2016,961
1844505072,5/1/2016,961
1927972279,4/12/2016,775
1927972279,4/13/2016,422
1927972279,4/15/2016,499
1927972279,4/26/2016,315
1927972279,4/28/2016,178
2026352035,4/12/2016,546
2026352035,4/13/2016,565
2026352035,4/14/2016,568
2026352035,4/15/2016,573
2026352035,4/16/2016,567
2026352035,4/17/2016,498
2026352035,4/19/2016,540
2026352035,4/20/2016,510
2026352035,4/21/2016,514
2026352035,4/22/2016,545
2026352035,4/23/2016,554
2026352035,4/24/2016,591
2026352035,4/25/2016,531
2026352035,4/27/2016,545
2026352035,4/28/2016,545
2026352035,4/29/2016,510
2026352035,4/30/2016,607
2026352035,5/1/2016,546
2026352035,5/2/2016,543
2026352035,5/4/2016,560
2026352035,5/5/2016,485
2026352035,5/6/2016,548
2026352035,5/7/2016,521
2026352035,5/8/2016,568
2026352035,5/9/2016,556
2026352035,5/10/2016,380
2026352035,5/11/2016,553
2026352035,5/12/2016,485
2320127002,4/23/2016,69
2347167796,4/13/2016,531
2347167796,4/14/2016,489
2347167796,4/15/2016,504
2347167796,4/17/2016,602
2347167796,4/18/2016,557
2347167796,4/19/2016,514
2347167796,4/21/2016,484
2347167796,4/22/2016,461
2347167796,4/23/2016,386
2347167796,4/24/2016,459
2347167796,4/25/2016,471
2347167796,4/26/2016,490
2347167796,4/27/2016,499
2347167796,4/28/2016,450
2347167796,4/29/2016,473
3977333714,4/12/2016,469
3977333714,4/13/2016,456
3977333714,4/14/2016,397
3977333714,4/15/2016,556
3977333714,4/16/2016,510
3977333714,4/17/2016,566
3977333714,4/18/2016,522
3977333714,4/19/2016,395
3977333714,4/20/2016,305
3977333714,4/21/2016,512
3977333714,4/22/2016,476
3977333714,4/23/2016,372
3977333714,4/24/2016,526
3977333714,4/25/2016,467
3977333714,4/26/2016,371
3977333714,4/27/2016,540
3977333714,4/28/2016,423
3977333714,4/29/2016,478
3977333714,4/30/2016,382
3977333714,5/1/2016,626
3977333714,5/2/2016,384
3977333714,5/3/2016,500
3977333714,5/4/2016,336
3977333714,5/5/2016,480
3977333714,5/6/2016,512
3977333714,5/7/2016,443
3977333714,5/8/2016,456
3977333714,5/10/2016,452
4020332650,4/12/2016,541
4020332650,4/16/2016,77
4020332650,5/3/2016,332
4020332650,5/4/2016,536
4020332650,5/5/2016,248
4020332650,5/6/2016,408
4020332650,5/8/2016,402
4020332650,5/10/2016,494
4319703577,4/14/2016,557
4319703577,4/15/2016,491
4319703577,4/16/2016,522
4319703577,4/18/2016,551
4319703577,4/19/2016,498
4319703577,4/20/2016,543
4319703577,4/21/2016,65
4319703577,4/22/2016,550
4319703577,4/23/2016,722
4319703577,4/24/2016,501
4319703577,4/25/2016,506
4319703577,4/26/2016,516
4319703577,4/27/2016,307
4319703577,4/28/2016,522
4319703577,4/29/2016,546
4319703577,4/30/2016,516
4319703577,5/1/2016,500
4319703577,5/2/2016,506
4319703577,5/3/2016,512
4319703577,5/6/2016,491
4319703577,5/7/2016,530
4319703577,5/8/2016,638
4319703577,5/9/2016,565
4319703577,5/10/2016,517
4319703577,5/11/2016,558
4319703577,5/12/2016,321
4388161847,4/15/2016,526
4388161847,4/16/2016,448
4388161847,4/17/2016,641
4388161847,4/18/2016,104
4388161847,4/19/2016,338
4388161847,4/20/2016,451
4388161847,4/21/2016,458
4388161847,4/22/2016,85
4388161847,4/23/2016,501
4388161847,4/24/2016,595
4388161847,4/26/2016,346
4388161847,4/27/2016,500
4388161847,4/28/2016,458
4388161847,4/30/2016,430
4388161847,5/1/2016,597
4388161847,5/2/2016,376
4388161847,5/4/2016,414
4388161847,5/5/2016,495
4388161847,5/7/2016,496
4388161847,5/8/2016,541
4388161847,5/9/2016,65
4388161847,5/10/2016,375
